,importance
weight,0.03304411891612993
Height,0.02015078461588542
urine,0.01896912684760079
temp,0.01292844888580576
pulse,0.012667513297770917
stoma,0.0071646038222020645
stable,0.006984893957508678
transfusion,0.006909353914336137
nausea,0.006891465534970462
UREA,0.00681344774720374
SERUM_ALBUMIN,0.006580300068370962
SERUM_POTASSIUM,0.006308133907992122
PR,0.006234708798680452
min,0.006122703715913039
oral,0.0061112704075204135
closure,0.006023342355892656
SERUM_CALCIUM,0.006013124734782655
Hb,0.006006101877802705
mL,0.0059831804558670605
hemoglobin,0.005963836180877602
SERUM_CREATININE,0.005690109900652724
IVF,0.005496056937126435
soft diet,0.005427710077496089
DIRECT_BILIRUBIN,0.00538004672742716
WBC,0.005312622126821666
biopsy,0.005255544169930648
SGPT,0.005250325911659156
stool,0.005243882300994814
Stable,0.005132274876204558
BILIRUBIN,0.005110042503207246
fever,0.004993827658220743
ALKALINE_PHOSPHATASE,0.004981198926787292
UOP,0.004980451337864741
liquid,0.004960420335536291
flatus,0.004928746350112622
Transfusion,0.004907230421140829
prothrombin,0.004862930611866051
Patient,0.004857146196492462
vomiting,0.004777583836540754
SERUM_SODIUM,0.0047708174468596215
vomit,0.004720443070496576
SERUM_GGT,0.004666622515269523
SGOT,0.004625586788338897
Phosphorous Test,0.004545769406788101
urine output,0.004499163939381451
cholecystectomy,0.004468440680048527
foley,0.004467730496823232
PLT,0.004460556653511171
Right,0.004422775797885197
RTA,0.004390365769488145
rt,0.0043624537385920665
ml,0.004306672208265241
right,0.0042947266933267446
TOTAL_PROTEIN,0.004264735616022426
patient,0.004250473617764747
motion,0.004245063915959275
hb,0.0042257663777890715
hr,0.004201024439143015
left,0.004099446850302405
diet,0.004066625682815369
pain,0.004046670471137566
normal,0.004040849733558329
repair,0.004030546615695264
Soft diet,0.0040238860763781035
Oral,0.004021409586427378
fistula,0.004013072405474351
unit,0.004007898775212895
abdominal,0.003924075453336597
morning,0.00392258408071858
FFP,0.003897737837873305
blood transfusion,0.0038080629498950407
abdomen,0.003783184438811631
present,0.003776064252979663
other,0.003560611617083526
tab,0.003513389506909513
low,0.0034740307774889095
Flatus,0.0032939531573885125
tube,0.0032827910422211807
water,0.0032441739267792735
gastrograffin,0.0032321291946547613
PRBC,0.0032280922503534937
surgery,0.0032026728887195976
CT,0.003173027979123019
albumin,0.0030844335759839304
half,0.003037725361581792
NA,0.00303577623592513
exploratory laparotomy,0.0030099788166506516
primary,0.003005526662555751
gm,0.0029927173378190798
Left,0.0029624148336033587
bag,0.0029504582527288686
iv,0.0029310552789705894
cbc,0.002911582576207449
Hr,0.0029043163072600665
Fever,0.002871474349813606
air,0.0028431443632743413
abdominal distension,0.0028421576234073185
ileostomy,0.002831524920713718
ivf,0.0028131647122883545
incisional hernia,0.0027944627574333085
excision,0.00276107027403614
uop,0.0027568915073904166
mg,0.0027300369260257512
high,0.002725678950402218
healthy,0.0027183591778585305
cyst,0.0027168717229916874
pr,0.002689187530651156
pt,0.0026205339208494336
OD,0.0026141062514077307
None,0.0025955945827976427
repeat,0.0025917709384749733
heparin,0.0025857760275811883
HB,0.002553725629619187
TLC,0.002549866487083603
black,0.002522305361667747
site,0.002508609114779204
Liquid,0.0024885390774654886
days,0.0024753081371505473
ML,0.0024487086210548186
continue,0.0024310831642801807
IV FLUIDS,0.002411460809784657
evening,0.002410849616154295
clear,0.002332900304256054
Exploratory laparotomy,0.0023062413646918003
IV,0.0022903360105992715
splenectomy,0.0022597424416513443
obstruction,0.0022441953007571983
appendicectomy,0.002238069696210092
STABLE,0.002174839660133033
small,0.002163773489767021
abdominal pain,0.0021630622321841624
perforation,0.0021628272702119734
Nausea,0.0021512410277202704
improved,0.0020513948519920284
room air,0.002051257881146095
MIN,0.002050882440428621
reconnection,0.002038211924164483
HJ,0.002036655769021734
adhesiolysis,0.0020348453739643868
tachycardia,0.0020311366434198636
Whipples procedure,0.001989320552969129
Vomiting,0.0019736920846924605
antibiotics,0.001956851386357866
distress,0.0019443194852548113
lateral,0.0019371879191781973
yes,0.0019202052801799523
once,0.0018941495634060294
abdominal distention,0.0018922197797463201
Heparin,0.001877859677308219
Pancreatic necrosectomy,0.0018500675680590164
total gastrectomy,0.0018402633851263685
enema,0.0018293851557784888
iv fluids,0.0018033170371174196
DM,0.0018000728413271674
WOUND,0.0017858249131275168
LEFT,0.001781297511156408
bleeding,0.0017806943234975725
hrs,0.001769470626522153
chest,0.0017508774576314155
Pt,0.0017409713786568914
daily,0.0017342578861958662
DI,0.0017294686544683884
INR,0.001724342919663474
Uop,0.0017232181100688042
jejunostomy,0.0017224579160602634
BD,0.0017028968959601517
DT,0.0017014484946665652
suppository,0.0016952904151795324
CBC,0.00168838256424569
subtotal colectomy,0.001682864217569978
HR,0.0016820298569051974
Gastrograffin,0.0016809119610057238
Tachycardia,0.0016681224299154856
Biopsy,0.0016574850975997772
ambulation,0.0016565010706638043
FLATUS,0.0016461108696466161
ct,0.0016348378818258488
PCV,0.0016213550454301888
treatment,0.001618533415921112
Wound,0.0015899754218678937
stenting,0.0015855594597932894
purulent,0.001575911968315248
hourly,0.0015722196309035563
amylase,0.001572129111624309
right hemicolectomy,0.0015596050395985282
night,0.0015426437535057229
SOFT DIET,0.0015323001846954576
wound,0.001530242506114665
inhalation,0.001521684799173937
Gallstones,0.0015185588680723863
fentanyl,0.0015179170919823908
Normal,0.0014980059475356619
NAUSEA,0.0014809284896567456
Rta,0.001474600769724458
Low,0.0014568159805828146
respiratory distress,0.0014514010588037014
colostomy,0.001431060921797212
single,0.001420775874778035
Abdomen,0.0014032627460569991
status,0.0013956565764539678
ileostomy closure,0.001393834281601675
Has antibiotic prophylaxis been given within the last 60 minutes?,0.0013901833285691943
HIGH,0.0013820292870451176
prbc,0.0013642780927109516
lung,0.0013629185424924879
Incisional hernia,0.0013445035358198788
DIET,0.0013431812647507653
Blood transfusion,0.0013355065547983218
LIQUID,0.0013330657394663432
Abdominal,0.0013276920085868462
Died,0.0013224769798705722
cough,0.001312086225819725
polyp,0.00131192910508733
VOMITING,0.001311388277542235
GB,0.0013100551812563897
Does Patient Have A Risk of 500ml blood loss(7ml/kg in children)?,0.0013079773580668766
Pain,0.0012975703235276333
packing,0.0012830615679094452
head,0.0012801305329707732
Foley,0.001276674516097496
CCI,0.0012668364167619827
FEVER,0.001264767141397229
High,0.0012592337388568533
anterior,0.001252667157363859
rta,0.0012440005255067858
feeding jejunostomy,0.0012439197285132346
ORAL,0.0012330292918290649
stomach,0.0012119266974102167
low urine output,0.0011942877750277883
pancreatic necrosectomy,0.00117915980791733
Right hemicolectomy,0.0011741743300464754
Abdominal distension,0.0011668528198368387
pancreatectomy,0.0011614432976245722
Pr,0.0011571791527329397
nasal,0.0011550520407342627
severe,0.0011490510546138951
gangrene,0.0011417515595771397
ABDOMEN,0.0011395342488722425
Ca,0.001138294490958419
STOOL,0.0011340534866754318
drop,0.0011244747429195658
IV fluids,0.0011142322327245195
Albumin,0.0011048894530127401
Conscious,0.0011042893967144784
ffp,0.0011021845834903246
CLOSURE,0.0010986477876014358
weakness,0.0010969426634714532
Chest,0.0010965933246512725
creatinine,0.0010951284602646076
appendectomy,0.001085562605665175
LOW,0.0010729265780049294
PCD,0.0010718318113455293
Abdominal pain,0.0010680846468266545
