,importance
weight,0.18423357493609757
Height,0.13252622104908685
urine,0.0906673259793539
pulse,0.06802996458897603
stoma,0.0629691876294158
rt,0.03239105423522477
hemoglobin,0.026239552632404645
SERUM_ALBUMIN,0.019868432898804477
UREA,0.018064370965334316
SERUM_POTASSIUM,0.01712382241072901
temp,0.01695702315649279
SERUM_CALCIUM,0.01659183086368324
PLT,0.01634726424568523
urine output,0.016237070719451692
ALKALINE_PHOSPHATASE,0.015454875552208832
WBC,0.01540843466381213
SERUM_CREATININE,0.01528847941484221
SGPT,0.014800410193363476
Phosphorous Test,0.013352868153584696
TOTAL_PROTEIN,0.013343851092055537
SERUM_SODIUM,0.012617326823645
prothrombin,0.012484230801715094
SGOT,0.012003441053789086
SERUM_GGT,0.011993151802159485
spo2,0.01187126850105638
DIRECT_BILIRUBIN,0.011537009349274336
BILIRUBIN,0.011236592825060095
Has antibiotic prophylaxis been given within the last 60 minutes?,0.005024695447489545
Does Patient Have A Risk of 500ml blood loss(7ml/kg in children)?,0.004611455643341268
ml,0.0027683480043702003
Does Patient Have A Difficult Airway/Aspiration Risk?,0.0017367853558472716
min,0.0016725543663429843
fever,0.0015311200290795135
oral,0.0014973859036771014
nausea,0.0013815729872060528
None,0.0013238935806682349
ileostomy,0.001304366601218347
mL,0.0012895025036354735
IVF,0.001243886693172215
stable,0.0012300344027210306
vomiting,0.0011861960426583205
pancreatic necrosectomy,0.001180722551011597
closure,0.0011470609179706807
diet,0.0011469027788364146
flatus,0.00113643561698462
Has DVT prophylaxis been administered,0.0011030444903266483
exploratory laparotomy,0.0010920121940956316
stool,0.0010016037406145556
Stable,0.0009949184774745554
cholecystectomy,0.0009719405929089818
Oral,0.0009101703212227812
fistula,0.0008859437575638062
repair,0.0008792902420223015
RTA,0.0008587180159175784
hr,0.0008533325979251603
tube,0.0008052060200067246
normal,0.0007958233718127293
motion,0.0007795322114939787
Pancreatic necrosectomy,0.0007764404731553378
UOP,0.000759713560090253
air,0.0007532642128732373
present,0.0007184044598427364
soft diet,0.000714095427092759
reconnection,0.0007130319210752942
Patient,0.0007050191083108665
purulent,0.0006985742461650399
healthy,0.0006967381015490684
DI,0.000688109296387206
Left,0.0006564965432967777
Right,0.0006265212467880328
abdomen,0.0006251279967582818
vomit,0.000621514429055609
liquid,0.0006210217436771768
left,0.0006044695973462652
Liter,0.0006002640705949301
HJ,0.0005669767500463513
adhesiolysis,0.0005611623018233151
gastrojejunostomy,0.0005353482122761935
colostomy,0.0005287445067711641
pain,0.0005236629226145512
right,0.0005090575089248744
Exploratory laparotomy,0.0004949098581135335
jejunostomy,0.00048575080388184154
excision,0.0004836439225566256
Fever,0.000483619135030421
surgery,0.00047847400100433095
PCD,0.0004685197864337392
duodenal perforation,0.00045871694593459375
Whipples procedure,0.0004331720046170537
abdominal,0.00042430120510627336
transfusion,0.0004235488371659062
water,0.0004111338665038749
NA,0.0004053711307239621
ML,0.00039168202562987254
morning,0.0003905552171682655
biopsy,0.0003876456918612996
status,0.00038757731902499984
tracheostomy,0.0003813672452167131
right hemicolectomy,0.000380980875581992
Soft diet,0.00037769332159437284
perforation,0.0003760343980394357
wound,0.0003715767529250829
splenectomy,0.00036642958618381463
low,0.00036230208880907495
patient,0.00035897845589233113
primary,0.0003491879884472996
site,0.0003370501869463426
Tachycardia,0.0003358802470042809
whipples procedure,0.00033571732886574185
incisional hernia,0.00032577788813027936
ivf,0.0003257247520261168
foley,0.0003219118488035229
whipple procedure,0.00031341412503826043
iv,0.00030738430778780247
bag,0.00030576825257080167
Total gastrectomy,0.0003005121054608371
small,0.0002991890894019261
drainage,0.000290551754286146
Conscious,0.0002896282852899438
Normal,0.0002872380924446179
total gastrectomy,0.00028460461957259883
packing,0.0002812845995438598
Tube,0.00027907139711609775
inhalation,0.00027809692473813234
CT,0.0002750299840005182
Tracheostomy,0.0002734691820398649
polyp,0.0002728644678999954
PRBC,0.00026778570646869825
laceration,0.00026365002580286336
Hr,0.0002597228701069265
MIN,0.0002582742555363143
clear,0.0002579309299742539
uop,0.0002527994323219067
Liquid,0.00025224767996471505
Hb,0.0002516920033830595
subtotal colectomy,0.00024436292187439293
wound infection,0.00024345319371644393
Flatus,0.00024315663602166227
high,0.0002412135550557725
ileostomy closure,0.00024088892262452436
IV,0.00023787681830041163
STABLE,0.00023567011824945108
Nausea,0.00023563971932532752
bypass,0.00023311361493484132
DM,0.00023249304518593815
gastrograffin,0.00023169805723284457
albumin,0.0002292020312083212
LEFT,0.00022900452293114895
FFP,0.00022472702921295292
rectovaginal fistula,0.00022016716040722706
tab,0.00021643552783966822
half,0.00020825798757470568
pancreatectomy,0.00020756174642483686
Gastrograffin,0.00020663776530803737
nasal,0.00020604809413688288
distal pancreatectomy,0.00020583064465964815
Ileostomy,0.00020455354309377495
WHIPPLES PROCEDURE,0.0002026276581577134
appendectomy,0.00020152261049644215
anterior,0.00020008684315832848
antibiotics,0.00019943669950525243
pt,0.000197485930970567
ambulation,0.00019693975640356918
High,0.00019331563642906372
continue,0.0001922112746911504
creatinine,0.0001907676957617143
bleeding,0.00018993280153553003
abdominal distension,0.00018961836380129303
BD,0.00018760769252032346
abdominal pain,0.0001795642210683634
Wound,0.0001782935795985195
tachycardia,0.00017181046180892164
gm,0.00017060552805836228
carbuncle,0.00016823559541622913
Pain,0.00016789847669236688
retroperitoneal mass,0.00016763993845903143
Serum,0.00016749122077898483
large,0.00016689857362315252
Mild,0.00016527987225728452
small bowel resection,0.0001598776659956146
once,0.00015832733484461646
chest,0.00015742731660349637
evening,0.00015637735300169937
mg,0.00015389628783939554
mild,0.00015342325589630704
hourly,0.0001534203052573734
ffp,0.00015140888762303834
partial,0.00014795914837554535
pancreatic fistula,0.00014635606554280645
Low,0.00014577577971027527
Cholecystectomy,0.0001444759806040262
oxygen,0.00014438083108243879
CBC,0.00014408604006611883
abdominal distention,0.00014391943020254373
other,0.0001438193426572587
Diagnostic laparoscopy,0.00014377753708416386
continuous,0.00014338455683391723
TUBE,0.00014278907287752383
cystogastrostomy,0.00014261557704668343
possible,0.00014189364712660188
Incisional hernia,0.00013863013200633636
Foley,0.0001386110528871935
stricture,0.0001371099811237199
cough,0.0001349606802350953
pancreatitis,0.00013150266573390724
Splenectomy,0.00012984764041279768
Abdominal,0.00012757793432181472
poor,0.00012733766282371366
serum,0.00012712549562872308
pyuria,0.00012681400928652285
Tab,0.00012610113749298305
appendicectomy,0.00012576729164713197
hrs,0.00012462439666772643
IV fluids,0.0001236839883945613
low urine output,0.0001230958198669643
treatment,0.00012307609205421924
abscess,0.0001218517727658589
Rta,0.00012035074681375327
umbilical hernia,0.00011948509920245048
daily,0.0001192751841626645
conscious,0.00011906634557383683
rta,0.00011895180017875996
oedema,0.00011819280264028077
unit,0.00011789899330460295
GIST,0.00011753842368692585
twice a day,0.00011508303953755423
colistin,0.00011348369645953723
Abdominal distention,0.00011229743281048557
cyst,0.0001120437969176967
positive,0.00011198796977178567
Ileostomy closure,0.00011158433877004614
Abdomen,0.00011145962569345167
Albumin,0.00011091966191891032
room air,0.00011043755113732634
LIQUID,0.00010975877434267805
HR,0.00010758587518273266
Repeat,0.00010748414499470921
gangrene,0.00010739559445454295
FEVER,0.00010596075837021601
each,0.0001042366620523234
DT,0.0001041331423106358
blood transfusion,0.00010274443555013496
reflux,0.00010114781620678797
stenting,9.807580846698293e-05
control,9.64120512958573e-05
IVf,9.639995539513506e-05
weakness,9.310200398683102e-05
obstruction,9.257307464714518e-05
negative,9.247276833597424e-05
single,9.160172031957552e-05
Chest,9.116261593627665e-05
Excision,9.102807845539474e-05
loose stool,9.028803792221543e-05
Right hemicolectomy,9.023508681629542e-05
thrombectomy,8.8586424996937e-05
Abdominal distension,8.682072244701366e-05
Bleeding,8.412821240286855e-05
amylase,8.344659150177581e-05
DVT,8.243756046188708e-05
nausea and vomiting,8.239989686120628e-05
Pancreatectomy,8.180782243981777e-05
night,8.117962089410753e-05
DIET,8.06123331369988e-05
face,7.98676777442966e-05
hepaticojejunostomy,7.742946382696328e-05
Transfusion,7.688833722395057e-05
